Trade Date,Symbol,Close
1/2/19,ETSY,47
1/3/19,ETSY,46.03
1/4/19,ETSY,49.7
1/7/19,ETSY,51.57
1/8/19,ETSY,53.88
1/9/19,ETSY,52.77
1/10/19,ETSY,51.34
1/11/19,ETSY,52.07
1/14/19,ETSY,52.04
1/15/19,ETSY,54.33
1/16/19,ETSY,54.53
1/17/19,ETSY,54.59
1/18/19,ETSY,55.83
1/22/19,ETSY,53.54
1/23/19,ETSY,53.83
1/24/19,ETSY,54.34
1/25/19,ETSY,55
1/28/19,ETSY,54.92
1/29/19,ETSY,53.52
1/30/19,ETSY,54.19
1/31/19,ETSY,54.65
2/1/19,ETSY,54.38
2/4/19,ETSY,54.74
2/5/19,ETSY,55.44
2/6/19,ETSY,52.59
2/7/19,ETSY,51.53
2/8/19,ETSY,53.15
2/11/19,ETSY,53.15
2/12/19,ETSY,55.83
2/13/19,ETSY,55.04
2/14/19,ETSY,54.06
2/15/19,ETSY,54.66
2/19/19,ETSY,55.28
2/20/19,ETSY,54.18
2/21/19,ETSY,53.03
2/22/19,ETSY,56.67
2/25/19,ETSY,59.01
2/26/19,ETSY,68.65
2/27/19,ETSY,71.74
2/28/19,ETSY,71.27
3/1/19,ETSY,72.77
3/4/19,ETSY,68.99
3/5/19,ETSY,70.61
3/6/19,ETSY,70.04
3/7/19,ETSY,67.24
3/8/19,ETSY,67.77
3/11/19,ETSY,70.66
3/12/19,ETSY,71.15
3/13/19,ETSY,70.15
3/14/19,ETSY,69.91
3/15/19,ETSY,69.89
3/18/19,ETSY,69.55
3/19/19,ETSY,68.5
3/20/19,ETSY,68.9
3/21/19,ETSY,69.44
3/22/19,ETSY,66.02
3/25/19,ETSY,67.86
3/26/19,ETSY,67.74
3/27/19,ETSY,65.51
3/28/19,ETSY,67.13
3/29/19,ETSY,67.22
4/1/19,ETSY,68.16
4/2/19,ETSY,69.73
4/3/19,ETSY,69.46
4/4/19,ETSY,68.3
4/5/19,ETSY,68.22
4/8/19,ETSY,67.65
4/9/19,ETSY,66.69
4/10/19,ETSY,68.21
4/11/19,ETSY,67.65
4/12/19,ETSY,65.38
4/15/19,ETSY,66.2
4/16/19,ETSY,66.28
4/17/19,ETSY,64.25
4/18/19,ETSY,63.4
4/22/19,ETSY,63.51
4/23/19,ETSY,65.22
4/24/19,ETSY,66.08
4/25/19,ETSY,67.85
4/26/19,ETSY,67.71
4/29/19,ETSY,69.41
4/30/19,ETSY,67.54
5/1/19,ETSY,66.79
5/2/19,ETSY,68.07
5/3/19,ETSY,69.65
5/6/19,ETSY,69.03
5/7/19,ETSY,66.97
5/8/19,ETSY,68.08
5/9/19,ETSY,60.76
5/10/19,ETSY,61.8
5/13/19,ETSY,57.23
5/14/19,ETSY,58.82
5/15/19,ETSY,61.89
5/16/19,ETSY,63.65
5/17/19,ETSY,62.78
5/20/19,ETSY,63.12
5/21/19,ETSY,65.21
5/22/19,ETSY,64.01
5/23/19,ETSY,63.32
5/24/19,ETSY,64.71
5/28/19,ETSY,65.03
5/29/19,ETSY,62.13
5/30/19,ETSY,62.95
5/31/19,ETSY,62.31
6/3/19,ETSY,61.07
6/4/19,ETSY,61.25
6/5/19,ETSY,61.49
6/6/19,ETSY,61.96
6/7/19,ETSY,63.89
6/10/19,ETSY,65.31
6/11/19,ETSY,67.18
6/12/19,ETSY,69.17
6/13/19,ETSY,70.05
6/14/19,ETSY,67.8
6/17/19,ETSY,68.46
6/18/19,ETSY,66.95
6/19/19,ETSY,68.14
6/20/19,ETSY,68.83
6/21/19,ETSY,65.78
6/24/19,ETSY,63.93
6/25/19,ETSY,61.79
6/26/19,ETSY,60.36
6/27/19,ETSY,62.36
6/28/19,ETSY,61.37
7/1/19,ETSY,62.06
7/2/19,ETSY,62.64
7/3/19,ETSY,64.28
7/5/19,ETSY,63.38
7/8/19,ETSY,64.01
7/9/19,ETSY,66.86
7/10/19,ETSY,66.45
7/11/19,ETSY,64.99
7/12/19,ETSY,64.6
7/15/19,ETSY,65.55
7/16/19,ETSY,64.21
7/17/19,ETSY,63.42
7/18/19,ETSY,65.2
7/19/19,ETSY,65.85
7/22/19,ETSY,68.53
7/23/19,ETSY,67.82
7/24/19,ETSY,68.05
7/25/19,ETSY,68.73
7/26/19,ETSY,70.86
7/29/19,ETSY,69.12
7/30/19,ETSY,68
7/31/19,ETSY,67.02
8/1/19,ETSY,68.14
8/2/19,ETSY,59.71
8/5/19,ETSY,53.94
8/6/19,ETSY,55.39
8/7/19,ETSY,56.06
8/8/19,ETSY,58.04
8/9/19,ETSY,56.43
8/12/19,ETSY,54.97
8/13/19,ETSY,55.74
8/14/19,ETSY,52.84
8/15/19,ETSY,51.71
8/16/19,ETSY,52.61
8/19/19,ETSY,52.41
8/20/19,ETSY,52.89
8/21/19,ETSY,54.25
8/22/19,ETSY,55.38
8/23/19,ETSY,54.09
8/26/19,ETSY,53.58
8/27/19,ETSY,53.41
8/28/19,ETSY,54.34
8/29/19,ETSY,54.4
8/30/19,ETSY,52.79
9/3/19,ETSY,50.3
9/4/19,ETSY,50.15
9/5/19,ETSY,50.1
9/6/19,ETSY,47.98
9/9/19,ETSY,50.5
9/10/19,ETSY,50.53
9/11/19,ETSY,52.67
9/12/19,ETSY,54.88
9/13/19,ETSY,56.86
9/16/19,ETSY,57.84
9/17/19,ETSY,59.85
9/18/19,ETSY,59.45
9/19/19,ETSY,59.07
9/20/19,ETSY,60.41
9/23/19,ETSY,60.54
9/24/19,ETSY,56.9
9/25/19,ETSY,55
9/26/19,ETSY,54.4
9/27/19,ETSY,54.81
9/30/19,ETSY,56.5
10/1/19,ETSY,55.3
10/2/19,ETSY,53.91
10/3/19,ETSY,55.82
10/4/19,ETSY,56.48
10/7/19,ETSY,55.92
10/8/19,ETSY,55.21
10/9/19,ETSY,57.21
10/10/19,ETSY,57.77
10/11/19,ETSY,59.26
10/14/19,ETSY,59.11
10/15/19,ETSY,60.02
10/16/19,ETSY,58.55
10/17/19,ETSY,60.42
10/18/19,ETSY,57.61
10/21/19,ETSY,58.04
10/22/19,ETSY,56.83
10/23/19,ETSY,56.64
10/24/19,ETSY,57.75
10/25/19,ETSY,58.67
10/28/19,ETSY,57.32
