Trade Date,Symbol,Close
1/2/19,GS,172.03
1/3/19,GS,169.51
1/4/19,GS,175.05
1/7/19,GS,176.02
1/8/19,GS,175.37
1/9/19,GS,176.47
1/10/19,GS,176
1/11/19,GS,176.93
1/14/19,GS,178.72
1/15/19,GS,179.91
1/16/19,GS,197.08
1/17/19,GS,199.09
1/18/19,GS,202.54
1/22/19,GS,197.68
1/23/19,GS,196.9
1/24/19,GS,197.8
1/25/19,GS,200.74
1/28/19,GS,199.72
1/29/19,GS,200.5
1/30/19,GS,202.48
1/31/19,GS,198.01
2/1/19,GS,196.54
2/4/19,GS,197.72
2/5/19,GS,198.01
2/6/19,GS,196.62
2/7/19,GS,193.07
2/8/19,GS,191.67
2/11/19,GS,191.33
2/12/19,GS,194.49
2/13/19,GS,194.69
2/14/19,GS,192.53
2/15/19,GS,198.5
2/19/19,GS,198.67
2/20/19,GS,198.6
2/21/19,GS,196.36
2/22/19,GS,196
2/25/19,GS,198.65
2/26/19,GS,198.9
2/27/19,GS,198.1
2/28/19,GS,196.7
3/1/19,GS,198.2
3/4/19,GS,195.98
3/5/19,GS,196
3/6/19,GS,194.74
3/7/19,GS,192.77
3/8/19,GS,195.24
3/11/19,GS,195.97
3/12/19,GS,196.63
3/13/19,GS,197.25
3/14/19,GS,197.47
3/15/19,GS,198.26
3/18/19,GS,202.47
3/19/19,GS,201.12
3/20/19,GS,194.32
3/21/19,GS,194.58
3/22/19,GS,188.96
3/25/19,GS,188.51
3/26/19,GS,190.69
3/27/19,GS,190.03
3/28/19,GS,191.18
3/29/19,GS,191.99
4/1/19,GS,196.74
4/2/19,GS,197.5
4/3/19,GS,200.86
4/4/19,GS,202.23
4/5/19,GS,202.38
4/8/19,GS,202.54
4/9/19,GS,200.62
4/10/19,GS,202.98
4/11/19,GS,202.83
4/12/19,GS,207.84
4/15/19,GS,199.91
4/16/19,GS,201.84
4/17/19,GS,207.9
4/18/19,GS,205.91
4/22/19,GS,204.6
4/23/19,GS,204.14
4/24/19,GS,200.54
4/25/19,GS,201.4
4/26/19,GS,203.08
4/29/19,GS,206.92
4/30/19,GS,205.92
5/1/19,GS,204.73
5/2/19,GS,204.99
5/3/19,GS,207.52
5/6/19,GS,206.43
5/7/19,GS,202.63
5/8/19,GS,200.95
5/9/19,GS,201.63
5/10/19,GS,202.05
5/13/19,GS,194.97
5/14/19,GS,196.28
5/15/19,GS,196.4
5/16/19,GS,199.14
5/17/19,GS,197.43
5/20/19,GS,197.24
5/21/19,GS,199.11
5/22/19,GS,195.52
5/23/19,GS,191.97
5/24/19,GS,193
5/28/19,GS,189.44
5/29/19,GS,188.05
5/30/19,GS,187.37
5/31/19,GS,182.49
6/3/19,GS,183.19
6/4/19,GS,189.88
6/5/19,GS,188.44
6/6/19,GS,189.81
6/7/19,GS,189.81
6/10/19,GS,194.12
6/11/19,GS,194.73
6/12/19,GS,190.22
6/13/19,GS,191.45
6/14/19,GS,191.66
6/17/19,GS,190.83
6/18/19,GS,194.98
6/19/19,GS,195.64
6/20/19,GS,195.7
6/21/19,GS,195.94
6/24/19,GS,197.49
6/25/19,GS,196.06
6/26/19,GS,197.01
6/27/19,GS,199.32
6/28/19,GS,204.6
7/1/19,GS,206.86
7/2/19,GS,205.98
7/3/19,GS,206.04
7/5/19,GS,207.9
7/8/19,GS,205.75
7/9/19,GS,207.77
7/10/19,GS,205.97
7/11/19,GS,211.35
7/12/19,GS,213.94
7/15/19,GS,211.58
7/16/19,GS,215.52
7/17/19,GS,213.3
7/18/19,GS,214.52
7/19/19,GS,213.52
7/22/19,GS,214
7/23/19,GS,219.43
7/24/19,GS,222.03
7/25/19,GS,219.98
7/26/19,GS,222.14
7/29/19,GS,220.32
7/30/19,GS,221.4
7/31/19,GS,220.13
8/1/19,GS,211.6
8/2/19,GS,209.37
8/5/19,GS,201.68
8/6/19,GS,206.01
8/7/19,GS,205.74
8/8/19,GS,207
8/9/19,GS,206.9
8/12/19,GS,201.52
8/13/19,GS,204.11
8/14/19,GS,195.56
8/15/19,GS,196.18
8/16/19,GS,199.42
8/19/19,GS,202.2
8/20/19,GS,199.98
8/21/19,GS,200.68
8/22/19,GS,202.42
8/23/19,GS,196.2
8/26/19,GS,199.65
8/27/19,GS,198.07
8/28/19,GS,200.42
8/29/19,GS,203.44
