Trade Date,Symbol,Close
1/2/19,SNAP,5.79
1/3/19,SNAP,5.68
1/4/19,SNAP,5.95
1/7/19,SNAP,6.21
1/8/19,SNAP,6.4
1/9/19,SNAP,6.28
1/10/19,SNAP,6.22
1/11/19,SNAP,6.28
1/14/19,SNAP,6.31
1/15/19,SNAP,6.54
1/16/19,SNAP,5.64
1/17/19,SNAP,5.74
1/18/19,SNAP,6.18
1/22/19,SNAP,5.93
1/23/19,SNAP,5.99
1/24/19,SNAP,6.17
1/25/19,SNAP,6.4
1/28/19,SNAP,6.34
1/29/19,SNAP,6.43
1/30/19,SNAP,6.57
1/31/19,SNAP,6.68
2/1/19,SNAP,6.91
2/4/19,SNAP,6.93
2/5/19,SNAP,7.04
2/6/19,SNAP,8.59
2/7/19,SNAP,8.57
2/8/19,SNAP,9.1
2/11/19,SNAP,8.99
2/12/19,SNAP,8.8
2/13/19,SNAP,9.07
2/14/19,SNAP,9.19
2/15/19,SNAP,9.12
2/19/19,SNAP,9.28
2/20/19,SNAP,9.24
2/21/19,SNAP,9.39
2/22/19,SNAP,9.71
2/25/19,SNAP,10.12
2/26/19,SNAP,10.08
2/27/19,SNAP,9.81
2/28/19,SNAP,9.8
3/1/19,SNAP,9.8
3/4/19,SNAP,9.92
3/5/19,SNAP,10.08
3/6/19,SNAP,9.87
3/7/19,SNAP,9.49
3/8/19,SNAP,9.48
3/11/19,SNAP,9.96
3/12/19,SNAP,9.88
3/13/19,SNAP,10.05
3/14/19,SNAP,11.28
3/15/19,SNAP,11.16
3/18/19,SNAP,10.94
3/19/19,SNAP,10.63
3/20/19,SNAP,10.94
3/21/19,SNAP,11.01
3/22/19,SNAP,10.73
3/25/19,SNAP,10.72
3/26/19,SNAP,10.76
3/27/19,SNAP,10.64
3/28/19,SNAP,10.79
3/29/19,SNAP,11.02
4/1/19,SNAP,11.36
4/2/19,SNAP,11.22
4/3/19,SNAP,11.16
4/4/19,SNAP,11.28
4/5/19,SNAP,11.84
4/8/19,SNAP,12.27
4/9/19,SNAP,12.35
4/10/19,SNAP,12.02
4/11/19,SNAP,11.9
4/12/19,SNAP,11.97
4/15/19,SNAP,11.85
4/16/19,SNAP,11.69
4/17/19,SNAP,11.75
4/18/19,SNAP,11.67
4/22/19,SNAP,11.53
4/23/19,SNAP,11.99
4/24/19,SNAP,11.26
4/25/19,SNAP,10.79
4/26/19,SNAP,10.91
4/29/19,SNAP,11.22
4/30/19,SNAP,11.14
5/1/19,SNAP,11.2
5/2/19,SNAP,11.24
5/3/19,SNAP,11.8
5/6/19,SNAP,11.77
5/7/19,SNAP,11.17
5/8/19,SNAP,10.82
5/9/19,SNAP,10.98
5/10/19,SNAP,10.49
5/13/19,SNAP,10.11
5/14/19,SNAP,10.49
5/15/19,SNAP,10.66
